as_of_date,latest_feature_date,last_rebalance_date,next_estimated_rebalance_date,rebalance_due,strategy_name,model_type,status,ticker,rank,score,weight,action,reason,holding_days,enter_rank,hold_rank,max_holding_days,rebalance_frequency_days,total_cost_bps,position_sizing
2026-05-18,2026-05-18,2026-05-18,2026-06-08,False,ml_ranker_5d_no_snapshot,hist_gradient_boosting_regression,research_candidate,BKNG,1,0.017931653003293507,0.1,HOLD,rebalance_not_due,15,10,20,21,15,20.0,equal_weight
2026-05-18,2026-05-18,2026-05-18,2026-06-08,False,ml_ranker_5d_no_snapshot,hist_gradient_boosting_regression,research_candidate,ABT,2,0.013209487604691381,0.1,HOLD,rebalance_not_due,15,10,20,21,15,20.0,equal_weight
2026-05-18,2026-05-18,2026-05-18,2026-06-08,False,ml_ranker_5d_no_snapshot,hist_gradient_boosting_regression,research_candidate,COST,3,0.013108471733826853,0.1,HOLD,rebalance_not_due,30,10,20,21,15,20.0,equal_weight
2026-05-18,2026-05-18,2026-05-18,2026-06-08,False,ml_ranker_5d_no_snapshot,hist_gradient_boosting_regression,research_candidate,INTU,4,0.011982855478297218,0.1,HOLD,rebalance_not_due,15,10,20,21,15,20.0,equal_weight
2026-05-18,2026-05-18,2026-05-18,2026-06-08,False,ml_ranker_5d_no_snapshot,hist_gradient_boosting_regression,research_candidate,GE,5,0.011814017793279208,0.1,HOLD,rebalance_not_due,15,10,20,21,15,20.0,equal_weight
2026-05-18,2026-05-18,2026-05-18,2026-06-08,False,ml_ranker_5d_no_snapshot,hist_gradient_boosting_regression,research_candidate,CAT,6,0.010507575231437277,0.1,HOLD,rebalance_not_due,15,10,20,21,15,20.0,equal_weight
2026-05-18,2026-05-18,2026-05-18,2026-06-08,False,ml_ranker_5d_no_snapshot,hist_gradient_boosting_regression,research_candidate,CSCO,7,0.010267280454202946,0.1,HOLD,rebalance_not_due,15,10,20,21,15,20.0,equal_weight
2026-05-18,2026-05-18,2026-05-18,2026-06-08,False,ml_ranker_5d_no_snapshot,hist_gradient_boosting_regression,research_candidate,AMAT,8,0.00828229578840587,0.1,HOLD,rebalance_not_due,15,10,20,21,15,20.0,equal_weight
2026-05-18,2026-05-18,2026-05-18,2026-06-08,False,ml_ranker_5d_no_snapshot,hist_gradient_boosting_regression,research_candidate,AXP,9,0.008164818286888548,0.1,HOLD,rebalance_not_due,15,10,20,21,15,20.0,equal_weight
2026-05-18,2026-05-18,2026-05-18,2026-06-08,False,ml_ranker_5d_no_snapshot,hist_gradient_boosting_regression,research_candidate,WMT,10,0.007355543548357748,0.1,HOLD,rebalance_not_due,15,10,20,21,15,20.0,equal_weight
