ticker,total_contribution,average_weight,periods_held,average_return_while_held,contribution_to_excess_return
CAT,0.04683022647631749,0.1,5,0.09366045295263496,0.03734041224582573
CSCO,0.03345090791028765,0.10000000000000002,3,0.1115030263676255,0.029619587287477343
AVGO,0.032477284138385645,0.1,4,0.0811932103459641,0.029075367925059083
AMAT,0.038183136783814166,0.1,4,0.09545784195953541,0.02726708016231999
NFLX,0.02008227820097256,0.1,2,0.1004113910048628,0.019513263657702007
CVX,0.011063395780771913,0.1,1,0.11063395780771912,0.014764621704412551
INTU,0.013619691242208598,0.10000000000000002,3,0.045398970807361994,0.014293038702011998
MRK,0.014086165458698209,0.1,2,0.07043082729349104,0.01411305830307761
LIN,0.010117322163420938,0.1,2,0.050586610817104694,0.01241919854043856
META,0.01793123940363204,0.1,1,0.17931239403632038,0.008571519872309951
SPGI,0.004015554781707209,0.1,2,0.020077773908536045,0.008547115708700315
MSFT,0.016951670853931965,0.1,1,0.16951670853931966,0.00759195132260988
NVDA,0.01611238532110091,0.1,1,0.16112385321100908,0.006752665789778823
CRM,0.005762654884779539,0.1,1,0.05762654884779539,0.006592989888132006
AMD,9.841066771638652e-05,0.1,1,0.0009841066771638651,0.0037996365913570253
TMO,-0.0003010409611279075,0.1,1,-0.0030104096112790746,0.0005292940422245596
GE,0.0035108038655036426,0.1,1,0.03510803865503642,-0.00034740960168606617
DIS,0.008757003527702834,0.1,1,0.08757003527702834,-0.0006027160036192526
WMT,0.0027808010951774435,0.1,1,0.02780801095177443,-0.0010774123720122652
ORCL,-0.0029681146498724887,0.1,1,-0.029681146498724886,-0.002137779646520022
GOOGL,-0.0036276015424174905,0.1,2,-0.018138007712087456,-0.003600708698038091
COST,0.008135406906777743,0.1,2,0.04067703453388871,-0.005082526091734051
JNJ,0.0023576203011335005,0.1,2,0.011788101505667503,-0.005575856839186167
ABT,-0.004133042529989106,0.1,1,-0.04133042529989106,-0.007991255997178814
AXP,-0.006206067888254719,0.1,1,-0.06206067888254718,-0.010064281355444427
MCO,-0.01236556515288626,0.1,2,-0.0618278257644313,-0.010108987758531373
ACN,-0.013050233222064833,0.1,2,-0.06525116611032417,-0.013023340377685433
IBM,-0.015472931061349605,0.1,2,-0.07736465530674802,-0.013216353666994718
QCOM,-0.009759494313762909,0.10000000000000002,3,-0.03253164771254302,-0.016817337468067375
BKNG,-0.013561872909699003,0.1,1,-0.13561872909699002,-0.017420086376888713
NOW,-0.030093208163428954,0.1,4,-0.07523302040857238,-0.025534754392056446
