feature_name,importance_mean,importance_std,importance_source,feature_group,abs_importance_mean
distance_to_63d_high,-1.1524554687128083e-05,1.355088188765045e-06,permutation_importance,technical_momentum,1.1524554687128083e-05
relative_strength_63d,1.0115055221298882e-05,2.0966441153747244e-06,permutation_importance,technical_momentum,1.0115055221298882e-05
relative_strength_21d,9.568469563433091e-06,2.628509756906182e-06,permutation_importance,technical_momentum,9.568469563433091e-06
historical_positive_rating_ratio,-9.35355551647351e-06,2.6185810417958255e-06,permutation_importance,historical_rating_counts,9.35355551647351e-06
beta_to_spy_63d,8.985816983271371e-06,2.741899544119242e-06,permutation_importance,volatility_risk,8.985816983271371e-06
percent_tickers_positive_sentiment_7d,7.386039473704082e-06,7.913902906058891e-07,permutation_importance,market_sentiment,7.386039473704082e-06
relevance_weighted_sentiment_30d,6.552240967484585e-06,2.2594671214221703e-06,permutation_importance,stock_sentiment,6.552240967484585e-06
market_risk_score,-6.536192488727375e-06,1.6524742893768419e-06,permutation_importance,market_regime,6.536192488727375e-06
downgrade_count_30d,5.447187407032583e-06,1.3114051532886561e-06,permutation_importance,historical_grade_events,5.447187407032583e-06
net_upgrade_score_30d,4.499004451390544e-06,1.626342545094115e-06,permutation_importance,historical_grade_events,4.499004451390544e-06
volatility_21d,-4.223595985862223e-06,1.8963311504994264e-06,permutation_importance,volatility_risk,4.223595985862223e-06
sentiment_change_7d_vs_30d,3.840537832605455e-06,9.65369165810842e-07,permutation_importance,stock_sentiment,3.840537832605455e-06
historical_rating_score_change_30d,-3.2922792539825657e-06,8.02129721566462e-07,permutation_importance,historical_rating_counts,3.2922792539825657e-06
spy_return_21d,-3.188721343438082e-06,1.6007591637903097e-06,permutation_importance,market_regime,3.188721343438082e-06
relevance_weighted_sentiment_7d,2.4672962752669685e-06,1.1146850221160645e-06,permutation_importance,stock_sentiment,2.4672962752669685e-06
historical_rating_score,2.3187070307379527e-06,2.138105575562492e-06,permutation_importance,historical_rating_counts,2.3187070307379527e-06
historical_negative_rating_ratio,2.0294922568170426e-06,1.4344622823904506e-06,permutation_importance,historical_rating_counts,2.0294922568170426e-06
market_sentiment_30d,-1.926737845978912e-06,1.949192751614073e-06,permutation_importance,market_sentiment,1.926737845978912e-06
spy_drawdown_from_63d_high,-1.8734616171423957e-06,1.500154547198388e-06,permutation_importance,market_regime,1.8734616171423957e-06
market_sentiment_7d,1.3959046131828411e-06,1.3158901462821139e-06,permutation_importance,market_sentiment,1.3959046131828411e-06
spy_volatility_21d,-1.0809456768140425e-06,1.529453120136039e-06,permutation_importance,market_regime,1.0809456768140425e-06
market_negative_news_ratio_7d,-3.6678391923600835e-07,7.248880251927204e-07,permutation_importance,market_sentiment,3.6678391923600835e-07
percent_tickers_negative_sentiment_7d,2.4341161216656115e-07,2.0775496914424642e-07,permutation_importance,market_sentiment,2.4341161216656115e-07
recent_downgrade_flag_30d,-1.2021805848800096e-07,9.023799529954382e-08,permutation_importance,historical_grade_events,1.2021805848800096e-07
spy_above_sma_50,-5.1879233599891936e-08,4.348989354849233e-08,permutation_importance,market_regime,5.1879233599891936e-08
spy_above_sma_200,4.751021402266131e-08,3.9989554652834345e-08,permutation_importance,market_regime,4.751021402266131e-08
negative_news_ratio_7d,-5.045326904417995e-09,4.290699556591928e-07,permutation_importance,stock_sentiment,5.045326904417995e-09
breakout_63d,0.0,0.0,permutation_importance,technical_momentum,0.0
